week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,refusal_rate
1,1,emergency,32,76,32,44,67,70,none,0.5789473684210527
1,1,surgery,45,130,45,85,83,78,flu,0.6538461538461539
1,1,general_medicine,37,201,37,164,97,43,flu,0.8159203980099502
1,1,ICU,22,31,22,9,84,91,flu,0.2903225806451613
2,1,emergency,28,169,28,141,75,64,none,0.834319526627219
2,1,surgery,40,26,26,0,96,56,none,0.0
2,1,general_medicine,43,183,43,140,73,93,flu,0.7650273224043715
2,1,ICU,16,7,7,0,79,85,donation,0.0
3,1,emergency,32,177,32,145,73,58,flu,0.8192090395480226
3,1,surgery,27,66,27,39,63,72,flu,0.5909090909090909
3,1,general_medicine,37,58,37,21,95,63,none,0.3620689655172414
3,1,ICU,20,21,20,1,82,89,none,0.047619047619047616
4,1,emergency,32,157,32,125,83,75,none,0.7961783439490446
4,1,surgery,56,57,56,1,74,94,none,0.017543859649122806
4,1,general_medicine,43,152,43,109,67,66,flu,0.7171052631578947
4,1,ICU,20,21,20,1,64,85,flu,0.047619047619047616
5,2,emergency,25,388,25,363,93,72,flu,0.9355670103092784
5,2,surgery,26,70,26,44,81,83,donation,0.6285714285714286
5,2,general_medicine,40,103,40,63,73,52,none,0.6116504854368932
5,2,ICU,22,13,13,0,73,88,none,0.0
6,2,emergency,34,198,34,164,72,76,flu,0.8282828282828283
6,2,surgery,27,58,27,31,96,81,donation,0.5344827586206896
6,2,general_medicine,69,90,69,21,72,81,none,0.23333333333333334
6,2,ICU,14,12,12,0,87,51,none,0.0
7,2,emergency,33,127,33,94,65,77,none,0.7401574803149606
7,2,surgery,37,46,37,9,89,60,none,0.1956521739130435
7,2,general_medicine,62,80,62,18,84,98,donation,0.225
7,2,ICU,21,47,21,26,72,83,flu,0.5531914893617021
8,2,emergency,26,240,26,214,96,75,flu,0.8916666666666667
8,2,surgery,51,20,20,0,91,61,strike,0.0
8,2,general_medicine,58,105,58,47,71,88,none,0.44761904761904764
8,2,ICU,12,10,10,0,76,98,none,0.0
9,3,emergency,28,113,28,85,82,86,none,0.7522123893805309
9,3,surgery,22,41,22,19,61,93,none,0.4634146341463415
9,3,general_medicine,38,78,38,40,63,60,none,0.5128205128205128
9,3,ICU,11,20,11,9,97,73,none,0.45
10,3,emergency,17,130,17,113,81,60,none,0.8692307692307693
10,3,surgery,38,57,38,19,68,55,none,0.3333333333333333
10,3,general_medicine,35,64,35,29,95,68,none,0.453125
10,3,ICU,13,8,8,0,91,56,none,0.0
11,3,emergency,16,97,16,81,98,72,donation,0.8350515463917526
11,3,surgery,48,48,48,0,82,80,none,0.0
11,3,general_medicine,35,50,35,15,75,75,none,0.3
11,3,ICU,14,17,14,3,61,50,none,0.17647058823529413
12,3,emergency,28,347,28,319,68,83,flu,0.9193083573487032
12,3,surgery,38,24,24,0,79,73,none,0.0
12,3,general_medicine,33,69,33,36,70,98,none,0.5217391304347826
12,3,ICU,16,13,13,0,79,94,donation,0.0
13,4,emergency,23,142,23,119,77,95,none,0.8380281690140845
13,4,surgery,41,54,41,13,75,90,none,0.24074074074074073
13,4,general_medicine,33,72,33,39,73,70,none,0.5416666666666666
13,4,ICU,17,12,12,0,66,52,none,0.0
14,4,emergency,15,97,15,82,71,71,none,0.845360824742268
14,4,surgery,33,49,33,16,97,87,none,0.32653061224489793
14,4,general_medicine,51,47,47,0,86,76,none,0.0
14,4,ICU,10,16,10,6,92,54,none,0.375
15,4,emergency,17,53,17,36,94,98,none,0.6792452830188679
15,4,surgery,31,124,31,93,65,76,flu,0.75
15,4,general_medicine,53,179,53,126,90,76,flu,0.7039106145251397
15,4,ICU,14,11,11,0,92,52,none,0.0
16,4,emergency,23,144,23,121,62,89,none,0.8402777777777778
16,4,surgery,37,28,28,0,82,31,strike,0.0
16,4,general_medicine,39,41,39,2,85,66,none,0.04878048780487805
16,4,ICU,18,15,15,0,98,78,none,0.0
17,5,emergency,21,133,21,112,84,73,none,0.8421052631578947
17,5,surgery,40,23,23,0,95,94,none,0.0
