week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,refusal_rate,staff_present,patients_per_staff
1,1,emergency,32,76,32,44,67,70,none,0.5789473684210527,35,0.9142857142857143
1,1,surgery,45,130,45,85,83,78,flu,0.6538461538461539,23,1.9565217391304348
1,1,general_medicine,37,201,37,164,97,43,flu,0.8159203980099502,27,1.3703703703703705
1,1,ICU,22,31,22,9,84,91,flu,0.2903225806451613,31,0.7096774193548387
2,1,emergency,28,169,28,141,75,64,none,0.834319526627219,37,0.7567567567567568
2,1,surgery,40,26,26,0,96,56,none,0.0,23,1.1304347826086956
2,1,general_medicine,43,183,43,140,73,93,flu,0.7650273224043715,25,1.72
2,1,ICU,16,7,7,0,79,85,donation,0.0,30,0.23333333333333334
4,1,emergency,32,157,32,125,83,75,none,0.7961783439490446,36,0.8888888888888888
4,1,surgery,56,57,56,1,74,94,none,0.017543859649122806,20,2.8
4,1,general_medicine,43,152,43,109,67,66,flu,0.7171052631578947,22,1.9545454545454546
4,1,ICU,20,21,20,1,64,85,flu,0.047619047619047616,29,0.6896551724137931
5,2,emergency,25,388,25,363,93,72,flu,0.9355670103092784,35,0.7142857142857143
5,2,surgery,26,70,26,44,81,83,donation,0.6285714285714286,22,1.1818181818181819
5,2,general_medicine,40,103,40,63,73,52,none,0.6116504854368932,23,1.7391304347826086
5,2,ICU,22,13,13,0,73,88,none,0.0,28,0.4642857142857143
7,2,emergency,33,127,33,94,65,77,none,0.7401574803149606,35,0.9428571428571428
7,2,surgery,37,46,37,9,89,60,none,0.1956521739130435,24,1.5416666666666667
7,2,general_medicine,62,80,62,18,84,98,donation,0.225,26,2.3846153846153846
7,2,ICU,21,47,21,26,72,83,flu,0.5531914893617021,30,0.7
8,2,emergency,26,240,26,214,96,75,flu,0.8916666666666667,36,0.7222222222222222
8,2,surgery,51,20,20,0,91,61,strike,0.0,20,1.0
8,2,general_medicine,58,105,58,47,71,88,none,0.44761904761904764,25,2.32
8,2,ICU,12,10,10,0,76,98,none,0.0,28,0.35714285714285715
10,3,emergency,17,130,17,113,81,60,none,0.8692307692307693,35,0.4857142857142857
10,3,surgery,38,57,38,19,68,55,none,0.3333333333333333,21,1.8095238095238095
10,3,general_medicine,35,64,35,29,95,68,none,0.453125,25,1.4
10,3,ICU,13,8,8,0,91,56,none,0.0,31,0.25806451612903225
11,3,emergency,16,97,16,81,98,72,donation,0.8350515463917526,34,0.47058823529411764
11,3,surgery,48,48,48,0,82,80,none,0.0,23,2.0869565217391304
11,3,general_medicine,35,50,35,15,75,75,none,0.3,22,1.5909090909090908
11,3,ICU,14,17,14,3,61,50,none,0.17647058823529413,31,0.45161290322580644
13,4,emergency,23,142,23,119,77,95,none,0.8380281690140845,34,0.6764705882352942
13,4,surgery,41,54,41,13,75,90,none,0.24074074074074073,20,2.05
13,4,general_medicine,33,72,33,39,73,70,none,0.5416666666666666,26,1.2692307692307692
13,4,ICU,17,12,12,0,66,52,none,0.0,27,0.4444444444444444
14,4,emergency,15,97,15,82,71,71,none,0.845360824742268,29,0.5172413793103449
14,4,surgery,33,49,33,16,97,87,none,0.32653061224489793,22,1.5
14,4,general_medicine,51,47,47,0,86,76,none,0.0,22,2.1363636363636362
14,4,ICU,10,16,10,6,92,54,none,0.375,31,0.3225806451612903
16,4,emergency,23,144,23,121,62,89,none,0.8402777777777778,36,0.6388888888888888
16,4,surgery,37,28,28,0,82,31,strike,0.0,23,1.2173913043478262
16,4,general_medicine,39,41,39,2,85,66,none,0.04878048780487805,26,1.5
16,4,ICU,18,15,15,0,98,78,none,0.0,28,0.5357142857142857
17,5,emergency,21,133,21,112,84,73,none,0.8421052631578947,37,0.5675675675675675
17,5,surgery,40,23,23,0,95,94,none,0.0,21,1.0952380952380953
17,5,general_medicine,33,76,33,43,75,63,none,0.5657894736842105,25,1.32
17,5,ICU,14,17,14,3,87,83,none,0.17647058823529413,27,0.5185185185185185
19,5,emergency,16,70,16,54,99,45,strike,0.7714285714285715,35,0.45714285714285713
19,5,surgery,42,44,42,2,78,66,none,0.045454545454545456,23,1.826086956521739
19,5,general_medicine,43,60,43,17,85,86,none,0.2833333333333333,26,1.6538461538461537
19,5,ICU,14,17,14,3,68,61,none,0.17647058823529413,34,0.4117647058823529
20,5,emergency,21,45,21,24,93,81,none,0.5333333333333333,37,0.5675675675675675
20,5,surgery,31,39,31,8,99,94,none,0.20512820512820512,23,1.3478260869565217
20,5,general_medicine,40,70,40,30,64,71,none,0.42857142857142855,24,1.6666666666666667
20,5,ICU,10,14,10,4,85,65,none,0.2857142857142857,31,0.3225806451612903
22,6,emergency,16,129,16,113,69,68,none,0.875968992248062,36,0.4444444444444444
22,6,surgery,18,21,18,3,63,65,none,0.14285714285714285,22,0.8181818181818182
22,6,general_medicine,46,36,36,0,87,88,donation,0.0,24,1.5
22,6,ICU,9,6,6,0,92,82,none,0.0,33,0.18181818181818182
23,6,emergency,22,54,22,32,62,50,none,0.5925925925925926,35,0.6285714285714286
23,6,surgery,26,43,26,17,72,61,none,0.3953488372093023,23,1.1304347826086956
23,6,general_medicine,27,81,27,54,94,77,donation,0.6666666666666666,26,1.0384615384615385
23,6,ICU,17,12,12,0,85,83,none,0.0,33,0.36363636363636365
25,7,emergency,15,48,15,33,72,72,none,0.6875,36,0.4166666666666667
25,7,surgery,22,39,22,17,76,98,none,0.4358974358974359,23,0.9565217391304348
25,7,general_medicine,36,51,36,15,81,62,none,0.29411764705882354,24,1.5
25,7,ICU,8,6,6,0,71,90,none,0.0,28,0.21428571428571427
26,7,emergency,18,96,18,78,87,63,none,0.8125,36,0.5
26,7,surgery,31,30,30,0,75,54,none,0.0,25,1.2
26,7,general_medicine,43,72,43,29,80,85,none,0.4027777777777778,25,1.72
26,7,ICU,14,8,8,0,98,63,none,0.0,33,0.24242424242424243
28,7,emergency,15,69,15,54,78,66,donation,0.782608695652174,36,0.4166666666666667
28,7,surgery,31,28,28,0,66,74,none,0.0,24,1.1666666666666667
28,7,general_medicine,26,36,26,10,90,68,none,0.2777777777777778,26,1.0
28,7,ICU,12,8,8,0,86,59,none,0.0,30,0.26666666666666666
29,8,emergency,16,92,16,76,72,99,none,0.8260869565217391,32,0.5
29,8,surgery,36,31,31,0,87,57,none,0.0,24,1.2916666666666667
29,8,general_medicine,30,62,30,32,60,52,none,0.5161290322580645,26,1.1538461538461537
29,8,ICU,14,15,14,1,84,82,none,0.06666666666666667,33,0.42424242424242425
31,8,emergency,20,48,20,28,69,81,none,0.5833333333333334,32,0.625
31,8,surgery,20,24,20,4,83,86,donation,0.16666666666666666,21,0.9523809523809523
31,8,general_medicine,45,60,45,15,85,57,none,0.25,24,1.875
31,8,ICU,8,12,8,4,87,86,none,0.3333333333333333,31,0.25806451612903225
32,8,emergency,20,89,20,69,76,58,none,0.7752808988764045,33,0.6060606060606061
32,8,surgery,31,25,25,0,87,97,none,0.0,23,1.0869565217391304
32,8,general_medicine,34,59,34,25,65,67,none,0.423728813559322,25,1.36
32,8,ICU,11,15,11,4,84,51,none,0.26666666666666666,30,0.36666666666666664
34,9,emergency,21,31,21,10,64,60,strike,0.3225806451612903,31,0.6774193548387096
34,9,surgery,22,42,22,20,96,86,none,0.47619047619047616,23,0.9565217391304348
34,9,general_medicine,48,56,48,8,80,63,none,0.14285714285714285,27,1.7777777777777777
34,9,ICU,10,7,7,0,72,53,none,0.0,31,0.22580645161290322
35,9,emergency,15,81,15,66,93,77,none,0.8148148148148148,34,0.4411764705882353
35,9,surgery,26,45,26,19,93,52,none,0.4222222222222222,22,1.1818181818181819
35,9,general_medicine,41,40,40,0,64,79,none,0.0,22,1.8181818181818181
35,9,ICU,18,5,5,0,82,64,none,0.0,31,0.16129032258064516
37,10,emergency,23,110,23,87,76,54,none,0.7909090909090909,35,0.6571428571428571
37,10,surgery,31,39,31,8,69,66,none,0.20512820512820512,24,1.2916666666666667
37,10,general_medicine,58,48,48,0,93,55,none,0.0,26,1.8461538461538463
37,10,ICU,13,20,13,7,82,65,none,0.35,26,0.5
38,10,emergency,22,71,22,49,67,53,none,0.6901408450704225,35,0.6285714285714286
38,10,surgery,47,48,47,1,62,81,none,0.020833333333333332,22,2.1363636363636362
38,10,general_medicine,63,78,63,15,78,70,none,0.19230769230769232,26,2.423076923076923
38,10,ICU,20,18,18,0,81,70,none,0.0,33,0.5454545454545454
40,10,emergency,18,57,18,39,81,43,strike,0.6842105263157895,36,0.5
40,10,surgery,46,36,36,0,83,51,none,0.0,23,1.565217391304348
40,10,general_medicine,47,107,47,60,66,52,none,0.5607476635514018,23,2.0434782608695654
40,10,ICU,12,15,12,3,97,84,none,0.2,28,0.42857142857142855
41,11,emergency,27,92,27,65,69,88,none,0.7065217391304348,37,0.7297297297297297
41,11,surgery,31,49,31,18,85,93,none,0.3673469387755102,24,1.2916666666666667
41,11,general_medicine,50,70,50,20,84,53,none,0.2857142857142857,26,1.9230769230769231
41,11,ICU,21,20,20,0,77,96,none,0.0,31,0.6451612903225806
43,11,emergency,21,171,21,150,70,79,none,0.8771929824561403,35,0.6
43,11,surgery,50,33,33,0,62,89,donation,0.0,19,1.736842105263158
43,11,general_medicine,42,49,42,7,79,77,none,0.14285714285714285,26,1.6153846153846154
43,11,ICU,18,12,12,0,89,87,none,0.0,32,0.375
44,11,emergency,27,138,27,111,74,60,none,0.8043478260869565,36,0.75
44,11,surgery,45,28,28,0,65,75,none,0.0,20,1.4
44,11,general_medicine,57,70,57,13,92,69,none,0.18571428571428572,22,2.590909090909091
44,11,ICU,12,16,12,4,73,87,none,0.25,34,0.35294117647058826
46,12,emergency,36,187,36,151,64,93,none,0.8074866310160428,31,1.1612903225806452
46,12,surgery,52,39,39,0,68,83,none,0.0,24,1.625
46,12,general_medicine,41,29,29,0,81,58,strike,0.0,24,1.2083333333333333
46,12,ICU,23,28,23,5,89,75,flu,0.17857142857142858,30,0.7666666666666667
47,12,emergency,22,91,22,69,63,54,strike,0.7582417582417582,37,0.5945945945945946
47,12,surgery,57,48,48,0,99,57,none,0.0,24,2.0
47,12,general_medicine,55,92,55,37,97,82,none,0.40217391304347827,22,2.5
47,12,ICU,13,16,13,3,76,82,none,0.1875,29,0.4482758620689655
49,12,emergency,26,137,26,111,92,86,none,0.8102189781021898,37,0.7027027027027027
49,12,surgery,26,29,26,3,81,51,none,0.10344827586206896,24,1.0833333333333333
49,12,general_medicine,72,63,63,0,92,87,none,0.0,25,2.52
49,12,ICU,16,22,16,6,83,64,none,0.2727272727272727,32,0.5
50,12,emergency,24,101,24,77,63,61,none,0.7623762376237624,38,0.631578947368421
50,12,surgery,59,65,59,6,95,85,none,0.09230769230769231,21,2.8095238095238093
50,12,general_medicine,72,57,57,0,79,60,none,0.0,23,2.4782608695652173
50,12,ICU,22,13,13,0,65,57,none,0.0,30,0.43333333333333335
52,12,emergency,26,130,26,104,88,63,none,0.8,36,0.7222222222222222
52,12,surgery,53,39,39,0,82,50,none,0.0,20,1.95
52,12,general_medicine,65,225,65,160,82,40,flu,0.7111111111111111,23,2.8260869565217392
52,12,ICU,22,24,22,2,80,96,none,0.08333333333333333,29,0.7586206896551724
